acronym,title,projectUrl,status,
IMPACT,Impact Measurement and Performance Analysis of CSR,http://www.csr-impact.eu/,OK,
SOCIAL POLIS,Social Platform on Cities and Social Cohesion,http://www.socialpolis.eu/,OK,
GUSTO,Meeting the challenges of economic uncertainty and sustainability through employment industrial relations social and environmental policies in European countries,http://www.gusto-project.eu/,NOK,
MAXCAP,Maximizing the integration capacity of the European Union Lessons and prospects for enlargement and beyond,http://www.maxcap-project.eu/,OK,
FLOWS,Impact of local welfare systems on female labour force participation and social cohesion,http://www.flows-eu.eu/,OK,
SYBILLA,Systems Biology of T cell Activation in Health and Disease,http://sybilla-t-cell.de/,OK,
MYWATER,Merging Hydrologic models and EO data for reliable information on Water,http://mywater-fp7.eu/,OK,
SMALL,Sparse models algorithms and learning for large scale data,http://www.small-project.eu/,OK,
FAHRE,Food and Health research in Europe,http://www2.spi.pt/fahre/,OK,
BIND,Biaxial nematic devices,http://bind.upatras.gr/,OK,
WSAN4CIP,Wireless sensor networks for the protection of critical infrastructures,http://www.wsan4cip.eu/,OK,
TENLAW,Tenancy Law and Housing Policy in Multi level Europe,http://www.tenlaw.uni-bremen.de/,OK,
THRIVE-RITE,Natural Compounds to enhance Productivity Quality and Health in Intensive Farming Systems,http://www.thriverite.eu/,OK,
ISA-PACK,A Flexible Sustainable Active and Intelligent Packaging Technology Platform Enabling Enhanced Shelf Life Quality and Safety of Fresh Food Produce,http://www.isapack.eu/,OK,
BIOSONIC,Novel Mobile Sonification Process for Local Valorisation of Lignocellulosic Forest Materials to produce Valuable Chemicals,http://www.biosonic-fp7.eu/,OK,
IPPA,Implementing Public Participation Approaches in Radioactive Waste Disposal,http://www.ippaproject.eu/,OK,
DISCUS,The DIStributed Core for unlimited bandwidth supply for all Users and Services,http://www.discus-fp7.eu/,OK,
UQUAM,Ultracold Quantum Matter,http://www.uquam.eu/,OK,
FLAGSHIP,Forward Looking Analysis of Grand Societal cHallenges and Innovative Policies,http://flagship-project.eu/,OK,
SUNGREEN,Strengthening University of Nova Gorica Research Potential in Environmental Sciences and Novel Nanomaterials,http://sungreen.ung.si/,OK,
GREENLION,Advanced manufacturing processes for Low Cost Greener Li Ion batteries,http://www.greenlionproject.eu/homepage,OK,
BRISK,The European Research Infrastructure for Thermochemical Biomass Conversion,http://briskeu.com/,OK,
COSMIC,The COntribution of Social Media In Crisis management,http://www.cosmic-project.eu/,OK,
HYDRA,HYBRID ABLATIVE DEVELOPMENT FOR RE ENTRY IN PLANETARY ATMOSPHERIC THERMAL PROTECTION,http://www.hydra-space.eu/,OK,
ALICE RAP,Addictions and Lifestyles In Contemporary Europe Reframing Addictions Project,http://www.alicerap.eu/,OK,
EPISTOP,Long term prospective study evaluating clinical and molecular biomarkers of epileptogenesis in a genetic model of epilepsy tuberous sclerosis complex,http://www.epistop.eu/,OK,
NORS,Demonstration Network Of ground based Remote Sensing Observations in support of the GMES Atmospheric Service,http://nors.aeronomie.be/,OK,
SPACE-DATA ROUTERS,SPACE DATA ROUTERS For Exploiting Space DATA,http://www.spacedatarouters.eu/,OK,
CASCEFF,Modelling of dependencies and cascading effects for emergency management in crisis situations,http://casceff.eu/en/Sidor/default.aspx,OK,
SO2SAY,Replacement of sulphur dioxide SO2 in food keeping the SAme qualitY and shelf life of the products,http://so2say.eu/,OK,
PERFORMANCE,Development of Personalised Food using Rapid Manufacturing for the Nutrition of elderly Consumers,http://www.performance-fp7.eu/,OK,
PRESERVEWINE,Non thermal process to replace use of sulphites and other chemical preservatives in European wines to meet new European Directive,http://www.preservewine.fraunhofer.eu/,OK,
EFISHENT,Improvement of feeds and feeding efficiency for seabass in cage farms in the Mediterranean,http://www.efishent.eu/,NOK,
ESPACE,European Satellite PArtnership for Computing Ephemerides,http://espace.oma.be/,OK,
ARIMNET,Coordination of Agricultural Research in the Mediterranean,http://www.arimnet.net/,OK,
GRAFOL,GRAPHENE CHEMICAL VAPOUR DEPOSITION ROLL TO ROLL TECHNOLOGY,http://www.grafol.eu/,OK,
MUPROD,Innovative proactive Quality Control system for in process multi stage defect reduction,http://www.muprod.eu/,OK,
MOVE IT!,Modernisation of Vessels for Inland waterway freight Transport,http://www.moveit-fp7.eu/,OK,
MICROENVIMET,Understanding and fighting metastasis by modulating the tumour microenvironment through interference with the protease network,http://www.ichwillabnehmen.eu/,NOK,
MARK-AGE,European Study to Establish Biomarkers of Human Ageing,http://www.mark-age.eu/,NOK,
EUROVISIONNET,Visual Impairment and Degeneration A Road map for Vision Research within Europe,http://www.eurovisionnet.eu/,NOK,
RECOVER,Science based remote sensing services to support REDD and sustainable forest management in tropical region,http://www.vtt.fi/sites/recover/en,OK,
E-RARE-2,ERA Net on Rare Diseases,http://www.erare.eu/,OK,
SOMABAT,Development of novel SOlid MAterials for high power Li polymer BATteries SOMABAT Recyclability of components,http://www.somabat.eu/,OK,
ERMITAGE,Enhancing Robustness and Model Integration for The Assessment of Global Environmental Change,http://ermitage.cs.man.ac.uk/,OK,
P²-ROTECT,Prediction Protection Reduction of OrbiTal Exposure to Collision Threats,http://www.p2rotect-fp7.eu/,OK,
MORDRED,Modelling of the reliability and degradation of next generation nanoelectronic devices,http://webhotel2.tut.fi/fys/mordred/,OK,
POLYTUBES,A Process Chain and Equipment for Volume Production of Polymeric Microtubular Components for Medical Device Applications,http://www.polytubes.net/,OK,
IKNOW,interconnecting Knowledge for the early identification of issues events and developments e g wild cards and associated weak signals shaping and shaking the future of STI in the ERA,http://community.iknowfutures.eu/,OK,
HPH.COM,HeliconPlasmaHydrazine COmbinedMicro,http://www.ecowoman.de/,NOK,
SUBITO,Surveillance of Unattended Baggage and the Identification and Tracking of the Owner,http://www.subito-project.eu/,OK,
HARCANA,High Aspect Ratio Carbon based Nanocomposites,http://www.harcana.eu/,OK,
SWUP-MED,Sustainable water use securing food production in dry areas of the Mediterranean region,http://swup-med.dk/,OK,
NAVTRONIC,Navigational system for efficient maritime transport,http://www.navtronic-project.eu/,OK,
COEXIST,Interaction in coastal waters A roadmap to sustainable integration of aquaculture and fisheries,http://www.coexistproject.eu/,OK,
TREAT OA,Translational Research in Europe Applied Technologies for Osteoarthritis,http://www.treatoa.eu/,OK,
INFORM,Integrating Nanomaterials in Formulations,http://www.nanoformulation.eu/,NOK,
RAPTOR,Rapid deployable gas generator assisted inflatable mobile security kits for ballistic protection of European civilians against crime and terrorist attacks,http://www.raptor-project.eu/,OK,
OCMOL,Oxidative Coupling of Methane followed by Oligomerization to Liquids,http://www.ocmol.eu/,OK,
MEDEO,Methods and tools for dual access to the EO databases in the EU and Russia,http://www.medeo-eu-ru.org/,OK,
SPWRT,SPACEWIRE RT,http://spacewire-rt.org/,OK,
THESEUS,Towards Human Exploration of Space a EUropean Strategy,http://www.theseus-eu.org/,OK,
HIVOCOMP,Advanced materials enabling HIgh VOlume road transport applications of lightweight structural COMPosite parts,http://www.hivocomp.eu/,OK,
NEUGENE,Advanced gene therapy tools for treatment of CNS specific disorders,http://www.neugene.eu/,OK,
INTRICATE,Infectious triggers of chronic autoimmunity,http://www.intricate.eu/,OK,
EUROCANPLATFORM,A European Platform for Translational Cancer Research,http://eurocanplatform.eu/,OK,
NAFISPACK,Natural Antimicrobials For Innovative and Safe Packaging,http://www.nafispack.com/,OK,
SELECT-AND-ACT,The role of striatum in selection of behaviour and motor learning neuronal code microcircuits and modelling,http://www.neuro.ki.se/selact/site/,OK,
MDDANEURODEV,Molecular coding and subset specification of dopamine neurons generating the the meso limbic and nigro striatal system,http://www.uva.nl/en/about-the-uva/organisation/staff-members/content/s/m/m.p.smidt/m.p.smidt.html,NOK,Curriculo do investigador?
OPTISTEM,Optimization of stem cell therapy for clinical trials of degenerative skin and muscle diseases,http://www.optistem.org/,OK,
AEGOS,African European Georesources Observation System,http://www.aegos-project.org/index.php,OK,
ACOBAR,Acoustic Technology for observing the interior of the Arctic Ocean,http://acobar.nersc.no/,OK,
HELIOS,High Pressure Electronically controlled gas injection for marine two stroke diesel engines,http://helios-fp7.eu/,OK,
ZF-CANCER,Developing high thoughput bioassays for human cancers in zebrafish,http://www.science.leidenuniv.nl/index.php/ibl/mcb/research_themes/zf_cancer,OK,
IDEAS,Integrating and Developing European Asian Studies,http://www.ideasconsortium.eu/,OK,
WILCO,Welfare Innovations at the Local level In favour of Cohesion,http://www.wilcoproject.eu/,OK,
AFFECTS,Advanced Forecast For Ensuring Communications Through Space,http://www.affects-fp7.eu/,OK,
GPRIX,Good Practices in Innovation Support Measures for SMEs facilitating transition from the traditional to the knowledge economy,http://www.gprix.eu/,OK,
SEABILLA,Sea Border Surveillance,http://www.seabilla.eu/cms/,OK,
SMW,Single Molecule Workstation,http://www.till-id.de/,NOK/OK,Sites em lingua estrangeira
PARYLENS,PARYLENE based artificial smart LENSes fabricated using a novel solid on liquid deposition process,http://www.parylens.eu/,OK,
PREDICTA,Post infectious immune reprogramming and its association with persistence and chronicity of respiratory allergic diseases,http://www.predicta.eu/,OK,
DERREG,Developing Europe s Rural Regions in the Era of Globalization An Interpretative Model for Better Anticipating and Responding to Challenges for Regional Development in an Evolving International Context,http://www.derreg.eu/,OK,
NEPHH,NANOMATERIALS RELATED ENVIRONMENTAL POLLUTION AND HEALTH HAZARDS THROUGHOUT THEIR LIFE CYCLE,http://www.nephh-fp7.eu/,OK,
NUTRIMENTHE,Effect of diet on the mental performance of children,http://www.nutrimenthe.eu/,OK,
SYSINBIO,Systems Biology as a Driver for Industrial Biotechnology,http://www.sysbio.se/SYSINBIO/,OK,
MANUVAR,Manual Work Support Throughout System Lifecycle by Exploiting Virtual and Augmented Reality,http://www.manuvar.eu/,OK,
LIAA,Lean Intelligent Assembly Automation,http://www.project-leanautomation.eu/,OK,
SENSYF,Sentinels Synergy Framework,http://www.sensyf.eu/,OK,
EPITARGET,Targets and biomarkers for antiepileptogenesis,http://www.epitarget.eu/,OK,
DIABAT,Recruitment and activation of brown adipocytes as preventive and curative therapy for type 2 diabetes,http://www.diabat.org/,OK,
BIOMAGSCAR,Biodegradable Magnetic Stent for Coronary Artery Luminal Regeneration,http://www.biomagscar.eu/,OK,
EU-CERT-ICD,Comparative Effectiveness Research to Assess the Use of Primary ProphylacTic Implantable Cardioverter Defibrillators in EUrope,http://www.eu-cert-icd.eu/,OK,
PRONIA,Personalised Prognostic Tools for Early Psychosis Management,http://www.pronia.eu/,OK,
GANNET53,A drug strategy targeting stabilised mutant p53 to fight metastatic platinum resistant ovarian cancer,http://www.gannet53.eu/,OK,
OPTIMEX,Optimizing Exercise Training in Prevention and Treatment of Diastolic Heart Failure,http://www.ntnu.edu/optimex,OK,
WWWFOREUROPE,Welfare Wealth and Work for Europe,http://www.foreurope.eu/,OK,
ONE-P,Organic Nanomaterials for Electronics and Photonics Design Synthesis Characterization Processing Fabrication and Applications,http://www.one-p.eu/,OK,
RAREDISEASEPLATFORM,A European Platform of Integrated Information Services for Researchers in the Field of Rare Diseases and Orphan Drugs Supporting Team and Project Building,http://www.rdplatform.org/,NOK,
PEMPHIGUS,Pemphigus From autoimmunity to disease,http://www.pemphigus.eu/,NOK,
PROMARK,Genetic prostate cancer variants as biomarkers of disease progression,http://www.promark-fp7.eu/,OK,
MATRANS,Micro and Nanocrystalline Functionally Graded Materials for Transport Applications,http://www.matrans.kmm-vin.eu/,NOK,
MOODINFLAME,Early diagnosis treatment and prevention of mood disorders targetting the activated inflammatory response system,http://moodinflame.eu/,OK,
MINANO,New high quality mined nanomaterials mass produced for plastic and wood plastic nanocomposites,http://minano.vtt.fi/,OK,
REDD-FLAME,REDD Fast Logging Assessment Monitoring Environment,http://redd-flame.info/,OK,
SIDARUS,Sea Ice Downstream Services for Arctic and Antarctic Users and Stakeholders,http://sidarus.nersc.no/,OK,
NANOPHOTO,Targeted Nanosystems for Improving Photodynamic Therapy and Diagnosis of Cancer,http://www.bio.unipd.it/nanophoto/,OK,
ASFRISK,Evaluating and controlling the risk of African swine fever in the EU,http://www.asfrisk.eu/,OK,
FEMTOPRINT,FEMTOSECOND LASER PRINTER FOR GLASS MICROSYSTEMS WITH NANOSCALE FEATURES,http://www.femtoprint.eu/,NOK,
ANGIOSCAFF,Angiogenesis inducing Bioactive and Bioresponsive Scaffolds in Tissue Enginering,http://angioscaff.eu/,NOK,
SECIGD,Secretariat of the Implementing Geological Disposal Technology Platform,http://www.igdtp.eu/,OK,
PRONANO,Promoting Technology Transfer of Nanosciences Nanotechnologies Materials and new Production Technologies,http://pronano.eu/en,NOK,
BUGWORKERS,New tailor made PHB based nanocomposites for high performance applications produced from environmentally friendly production routes,http://www.bugworkersproject.eu/,OK,
FACET,Flavours additives and food contact material exposure task,http://www.ucd.ie/facet/,OK,
AMBIOCAS,AMINE SYNTHESIS THROUGH BIOCATALYTIC CASCADES,http://www.ambiocas.eu/,OK,
HABEAT,Determining factors and critical periods in food habit formation and breaking in early childhood a multidisciplinary approach,http://www.habeat.eu/,OK,
TRANSPARENT_FOOD,Quality and integrity in food a challenge for chain communication and research,http://uf.ilb.uni-bonn.de/transparentfood/index.html,OK,
EUCLYD,A European Consortium for Lysosomal Disorders,http://euclyd.eu/,NOK,
EFACTS,European Friedreich s Ataxia Consortium for Translational Studies,http://www.e-facts.eu/html/studies/home?asgsid=937c19af8a660d335338ef84ffdb650c,OK,
CONVERGE,Collaborative Communication Driven Decision Management in Non Hierarchical Supply Chains of the Electronic Industry,http://www.converge-project.eu/,OK,
EURODSD,Investigation of the molecular pathogenesis and pathophysiology of Disorders of Sex Development DSD,http://www.eurodsd.eu/,NOK,excepção interessante
WOODWISDOM-NET 2,Networking and Integration of National Programmes in the Area of Wood Material Science and Engineering in the Forest based Value Chains,http://www.woodwisdom.net/,OK,
BETAIMAGE,Use of innovative strategies for beta cell imaging in diabetes mellitus,http://www.betaimage.eu/index.php,OK,
FORGE,Fate of Repository Gases,http://www.bgs.ac.uk/forge/,OK,
SHARCO,Sharka Containment,http://www.sharco.eu/,OK,
RECOSY,REDOX PHENOMENA CONTROLLING SYSTEMS,http://www.recosy.eu/,OK,
SKIN,Slow processes in close to equilibrium conditions for radionuclides in water solid systems of relevance to nuclear waste management,http://web.emn.fr/x-subatech/skin/index.php?title=Main_Page,OK,
PEBS,Long term performance of Engineered Barrier Systems EBS,http://www.pebs-eu.de/,OK,
MODERN,Monitoring Developments for safe Repository operation and staged closure,http://www.modern-fp7.eu/,OK,
DORIS,Ground Deformations Risk Scenarios an Advanced Assessment Service,http://www.doris-project.eu/,OK,
PROVISCOUT,Planetary Robotics Vision Scout,http://www.proviscout.eu/,OK,
SOTERIA,SOlar TERrestrial Investigations and Archives,http://soteria-space.eu/,OK,
PROVISG,Planetary Robotics Vision Ground Processing,http://provisg.eu/,OK,
SATURNE,Microsystems Based on Wide Band Gap Materials for Future Space Transmitting Ultra Wideband Receiving Systems,http://www.saturne-project.com/,OK,
SEMEP,Search for Electro Magnetic Earthquake Precursors combining satellite and ground based facilities,http://www.ssg.group.shef.ac.uk/semep/,OK,
ENDORSE,ENDORSE ENergy DOwnstReam SErvices Providing energy components for GMES,http://www.endorse-fp7.eu/,OK,
WATPLAN,Spatial earth observation monitoring for planning and water allocation in the international Incomati Basin,http://www.watplan.eu/,OK,
COSMOS,Coordination of Space NCPs as a Means to Optimise Services,http://www.fp7-space.eu/,OK,
FOSTERNAV,Flash Optical Sensor for Terrain Relative Robotic Navigation,http://fosternav.net/,OK,
MYOCEAN,Development and pre operational validation of upgraded GMES Marine Core Services and capabilities,http://marine.copernicus.eu/,OK,
SUBCOAST,A collaborative project aimed at developing a GMES service for monitoring and forecasting subsidence hazards in coastal areas around Europe,http://www.subcoast.eu/,OK,
CARBONES,30 year re analysis of CARBON fluxES and pools over Europe and the Globe,http://www.carbones.eu/wcmqs/,OK,
HIPER,High Power Electric propulsion a Roadmap for the future,http://www.alta-space.com/hiper/,OK,
HESPE,High Energy Solar Physics Data in Europe,http://hespe.eu/,OK,
SMARTEES,MULTIFUNCTIONAL COMPONENTS FOR AGRESSIVE ENVIROMENTS IN SPACE APPLICATIONS,http://www.smartees-project.eu/,OK,
ASIMUTH,Applied simulations and Integrated modeling for the understanding of toxic and harmful algal blooms,http://www.asimuth.eu/en-ie/Pages/default.aspx,OK,
THESEUS,Innovative coastal technologies for safer European coasts in a changing climate,http://www.theseusproject.eu/,OK,
PRE-EARTHQUAKES,Processing Russian and European EARTH observations for earthQUAKE precursors Studies,http://www.pre-earthquakes.org/,OK,
BIO_SOS,BIOdiversity Multi Source Monitoring System from Space TO Species,http://www.wageningenur.nl/en/Expertise-Services/Research-Institutes/alterra/Projects/BIO_SOS.htm,OK,
BENWOOD,Coordination Actions in Support Of Sustainable And Eco Efficient Short Rotation Forestry In CDM Countries,http://www.benwood.eu/cms/,OK,
ISTIMES,Integrated System for Transport Infrastructures surveillance and Monitoring by Electromagnetic Sensing,http://www.istimes.eu/,OK,
FRAME,Fast Ramp up and Adaptive Manufacturing Environment,http://www.frame-eu.org/,NOK,
TORNADO,Molecular Targets Open for Regulation by the gut flora New Avenues for improved Diet to Optimize European health,http://www.fp7tornado.eu/,OK,
NANOFUTURES,NANOfutures a cross ETP Coordination Initiative on nanotechnology,http://www.nanofutures.eu/,OK,
BIONEXGEN,Development of the next generation bioreactor system,http://www.bionexgen.eu/,OK,
NANOHOUSE,Life Cycle of Nanoparticle based Products used in House Coating,http://www-nanohouse.cea.fr/,OK,
RESOLVE,Bottom up Resolution of Functional Enantiomers from Self Organised Monolayers,http://projects.icmab.es/resolve/,OK,
NAMDIATREAM,NANOTECHNOLOGICAL TOOLKITS FOR MULTI MODAL DISEASE DIAGNOSTICS AND TREATMENT MONITORING,http://www.namdiatream.eu/joomla/,OK,
EFRAIM,Mechanisms of early protective exposures on allergy development,http://www.efraim-online.com/,OK,
COPE,Common Operational Picture Exploitation,http://cope.vtt.fi/,OK,
TOYBOX,Multifactorial evidence based approach using behavioural models in understanding and promoting fun healthy food play and policy for the prevention of obesity in early childhood ToyBox,http://www.toybox-study.eu/,OK,
NAPANIL,Nanopatterning Production and Applications based on Nanoimprinting Lithography,http://www.napanil.org/,NOK,
MADEIRA,Minimizing Activity and Dose with Enhanced Image quality by Radiopharmaceutical Administrations,http://www.madeira-project.eu/,NOK,
EURO-URHIS 2,European Urban Health Indicators Part Two Using indicators to inform policy,http://www.urhis.eu/,OK,
EATWELL,Interventions to Promote Healthy Eating Habits Evaluation and Recommendations,http://www.flaviola.org/,OK,
SERVIVE,SERVice Oriented Intelligent Value Adding nEtwork for Clothing SMEs embarking in Mass Customisation,http://www.servive.eu/,OK,
BASELINE,Selection and improving of fit for purpose sampling procedures for specific foods and risks,http://www.baselineeurope.eu/,OK,
RHEA,ROBOT FLEETS FOR HIGHLY EFFECTIVE AGRICULTURE AND FORESTRY MANAGEMENT,http://www.rhea-project.eu/,OK,
NANOYOU,Communicating NANOtechnology to European YOUth,http://nanoyou.eu/,OK,
LUPAS,Luminescent polymers for in vivo imaging of amyloid signatures,http://www.lupas-amyloid.eu/,OK,
INHERITANCE,INtegrated HEart Research In TrANslational genetics of dilated Cardiomyopathies in Europe,http://www.peace-event.eu/index.php,NOK,
NEUROBID,Neuroscience on Barriers in Development,http://www.neurobid.eu/,OK,
MYCORED,Novel integrated strategies for worldwide mycotoxin reduction in the food and feed chains,http://www.mycored.eu/,OK,
RUFUS,Rural Future Networks,http://www.rufus-eu.de/,OK,
ARCH,Agenda for research on chernobyl health ARCH to develop of a strategic plan for research on the health consequences of radiation from the chernobyl accident,http://arch.iarc.fr/,OK,
DIAPREPP,DIAbetes type 1 PRediction Early Pathogenesis and Prevention,http://www.diaprepp.eu/,OK,
IBDASE,Mucosal protease and their inhibitors in inflammatory bowel disease From etiopathogenetic insight to innovative therapy,http://www.ibdase.org/,NOK,
FAD,Fighting Aneurysmal Diseases,http://www.fighting-aneurysm.org/,NOK,
2-BE-SAFE,2 WHEELER BEHAVIOUR AND SAFETY,http://www.2besafe.eu/,OK,
PILLS,Process intensification methodolgies for liquid liquid systems in structured equipment,http://www.fp7pills.eu/,NOK,
SPICY,Smart tools for Prediction and Improvement of Crop Yield,http://www.spicyweb.eu/,OK,
GENODISC,Disc degeneration linked pathologies novel biomarkers and diagnostics for targeting treatment and repair,http://www.physiol.ox.ac.uk/genodisc/index.html,OK,
SSHOES,SPECIAL SHOES MOVEMENT,http://www.sshoes.eu/default.aspx,OK,
FULL4HEALTH,Understanding food gut brain mechanisms across the lifespan in the regulation of hunger and satiety for health,http://www.full4health.eu/,OK,
WASIS,Composite fuselage section Wafer Design Approach for Safety Increasing in Worst Case Situations and Joints Minimizing,http://www.wasis.eu/,OK,
BISNANO,Functionalities of Bismuth based nanostructures,http://www.bisnano.eu/,OK,
ECLAT,European Cluster Assimilation Technolgy,http://www2.le.ac.uk/departments/physics/research/rspp/missions/eclat/eclat-european-cluster-assimilation-technology/,OK,
SAVEME,A Modular Nanosystems Platform for Advanced Cancer Management Nano vehicles Tumor Targeting and Penetration Agents Molecular Imaging Degradome based Therapy,http://fp7-saveme.com/,OK,
EUROSPIN,European Consortium on Synaptic Protein Networks in Neurological and Psychiatric Diseases,http://eurospin.mpg.de/,OK,
COMESEP,COronal Mass Ejections and Solar Energetic Particles forecasting the space weather impact,http://www.comesep.eu/,OK,
CTA-PP,The Preparatory Phase for the Cherenkov Telescope Array CTA PP,https://portal.cta-observatory.org/Pages/Home.aspx,OK,
CCH FEVER,Crimean Congo Hemorrhagic Fever Modern Approaches to Diagnostics Surveillance Prevention Therapy and Preparedness,http://www.cch-fever.eu/,OK,
WOODLIFE,Extended service life and improved properties of wood products through the use of functional nanoparticles in clear coating and adhesive systems,http://www.woodlifeproject.com/en/Sidor/default.aspx,OK,
TRANSPARENCY,Adaptive Business Collaboration by progressive knowledge sharing and engineering,http://www.transparency-project.eu/index.php?transparency,OK,
IC2,Intelligent and Customized Tooling,http://www.ic2-eu.org/,OK,
LEGUME-FUTURES,Legume supported cropping systems for Europe,http://www.legumefutures.de/,OK,
ATHENA,AnThocyanin and polyphenol bioactives for Health Enhancement through Nutritional Advancement,http://www.athena-flora.eu/,OK,
NEXTGEN,Next generation methods to preserve farm animal biodiversity by optimizing present and future breeding options,http://nextgen.vitamib.com/,NOK,
PROTECTRAIL,The Railway Industry Partnership for Integrated Security of Rail Transport,http://www.protectrail.eu/,OK,
NIMBL,Nuclease Immune Mediated Brain and Lupus like conditions NIMBL natural history pathophysiology diagnostic and therapeutic modalities with application to other disorders of autoimmunity,http://www.human-development.manchester.ac.uk/NIMBL/,OK,
MINDVIEW,Multimodal Imaging of Neurological Disorders,http://www.mindview.i3m.upv.es/,OK,
REQUITE,Validating predictive models of radiotherapy toxicity to improve quality of life and reduce side effects in cancer survivors,http://www.requite.eu/,OK,
PLASTICISE,Promotion of plasticity as a treatment for neurodegenerative conditions,http://www.plasticise.eu/,NOK,
INNOS&T,Innovative S T indicators combining patent data and surveys Empirical models and policy analyses,http://bcmmnty-qp.unibocconi.it/QuickPlace/innovativest/Main.nsf/h_Toc/4df38292d748069d0525670800167212/?OpenDocument,OK,
MAGISTER,Magnetic Scaffolds for in vivo Tissue Engineering,http://www.magister-project.eu/,OK,
